satellite,date,temperature
Landsat 7,2015-02-19,299.3349617984582
Landsat 8,2015-02-27,302.4450352581831
Landsat 8,2015-02-27,302.44030949125334
Landsat 7,2015-03-07,298.9605568084468
Landsat 8,2015-03-15,299.1466853141506
Landsat 8,2015-03-15,299.1467308480896
Landsat 7,2015-04-08,300.45705793080737
Landsat 8,2015-06-03,301.11074593163323
Landsat 8,2015-06-03,301.1060290884406
Landsat 7,2015-06-27,296.66850972476124
Landsat 8,2015-07-05,299.4863746004001
Landsat 8,2015-07-05,299.48588242199486
Landsat 7,2015-07-13,297.0539173204867
Landsat 7,2015-07-29,299.9479945716801
Landsat 7,2015-08-14,297.79352092555536
Landsat 8,2015-09-23,300.7745658095328
Landsat 8,2015-09-23,300.778684457277
Landsat 7,2016-01-05,296.8051278762134
Landsat 8,2016-01-29,297.9968082115254
Landsat 8,2016-01-29,297.9991039762862
Landsat 7,2016-02-06,298.11580967367576
Landsat 8,2016-02-14,296.853309445101
Landsat 8,2016-02-14,296.8554323029281
Landsat 7,2016-02-22,300.9212742540415
Landsat 8,2016-03-01,301.13555925886607
Landsat 8,2016-03-01,301.13227562881667
Landsat 7,2016-03-25,300.37769847960163
Landsat 8,2016-05-04,290.78481835053685
Landsat 8,2016-05-04,290.7899932026135
Landsat 7,2016-05-12,299.35651170425587
Landsat 7,2016-05-28,300.29643639117484
Landsat 8,2016-06-05,296.09285765616966
Landsat 8,2016-06-05,296.08996156036415
Landsat 7,2016-06-29,298.29702880659664
Landsat 7,2016-08-16,296.7255383516181
Landsat 8,2016-08-24,300.311565353896
Landsat 8,2016-08-24,300.31718707925296
Landsat 8,2016-09-09,299.11273378717726
Landsat 8,2016-09-09,299.1656546722862
Landsat 7,2016-09-17,300.987857703885
Landsat 8,2016-09-25,298.4674701909494
Landsat 8,2016-09-25,298.4676460724624
Landsat 7,2016-11-20,298.62877024170206
Landsat 8,2016-11-28,294.1495071510377
Landsat 8,2016-11-28,294.1170968660387
Landsat 8,2016-12-14,299.61412559578423
Landsat 8,2016-12-14,299.61400752788205
Landsat 7,2016-12-22,298.46788785465003
Landsat 7,2017-01-07,297.9772467787207
Landsat 8,2017-01-15,298.7278798555885
Landsat 8,2017-01-15,298.72835800008323
Landsat 7,2017-01-23,298.69311129913103
Landsat 8,2017-02-16,300.5693510585661
Landsat 8,2017-02-16,300.5729251295531
Landsat 8,2017-03-20,299.32851860691335
Landsat 8,2017-03-20,299.31979947714274
Landsat 7,2017-03-28,298.93884663682167
Landsat 8,2017-04-05,299.167294874919
Landsat 8,2017-04-05,299.1664442978887
Landsat 8,2017-04-21,303.62041365475733
Landsat 8,2017-04-21,303.62066763803483
Landsat 8,2017-05-07,300.1288397982945
Landsat 8,2017-05-07,300.1245912497665
Landsat 7,2017-05-15,297.42347074214365
Landsat 8,2017-05-23,300.79038385754995
Landsat 8,2017-05-23,300.7905542475327
Landsat 7,2017-06-16,295.90870661075854
Landsat 8,2017-06-24,295.61106876850874
Landsat 8,2017-06-24,295.60946752979135
Landsat 7,2017-07-02,298.82403052492805
Landsat 8,2017-07-10,299.2471958784405
Landsat 8,2017-07-10,299.24551493626194
Landsat 7,2017-08-03,299.3701363904435
Landsat 8,2017-08-27,302.71579172866797
Landsat 8,2017-08-27,302.71063083423087
Landsat 8,2017-09-12,300.6915151845561
Landsat 8,2017-09-12,300.6942450852978
Landsat 8,2017-09-28,299.5930140938894
Landsat 8,2017-09-28,299.59290128870384
Landsat 7,2017-10-06,298.8227395211544
Landsat 7,2017-10-22,297.9926385383116
Landsat 7,2017-10-31,298.3350085901915
Landsat 8,2017-11-15,297.1369963339068
Landsat 8,2017-11-15,297.1377418854196
Landsat 8,2017-12-01,300.7220688362297
Landsat 8,2017-12-17,298.7748643212547
Landsat 8,2017-12-17,298.7748862873761
Landsat 8,2018-01-18,298.4545175014219
Landsat 8,2018-01-18,298.4567463762926
Landsat 8,2018-02-03,298.96561094913807
Landsat 8,2018-02-03,298.97081821649743
Landsat 7,2018-02-11,298.4516158287132
Landsat 8,2018-03-23,299.1260144312934
Landsat 8,2018-03-23,299.12617810940566
Landsat 7,2018-03-31,297.79596680786665
Landsat 8,2018-05-10,301.3338584951856
Landsat 8,2018-05-10,301.3370178030901
Landsat 7,2018-05-18,299.09638143627564
Landsat 8,2018-06-11,300.3585111500363
Landsat 8,2018-06-11,300.3630008574336
Landsat 7,2018-07-05,299.2407910859962
Landsat 7,2018-07-21,298.1438715461802
Landsat 8,2018-07-29,298.6154612128733
Landsat 8,2018-08-14,297.5139469500254
Landsat 8,2018-08-14,297.51531312073644
Landsat 8,2018-08-30,297.6604322248427
Landsat 8,2018-08-30,297.66058598769183
